Designator,Mid X,Mid Y,Rotation,Layer
C1,134.750000,-99.750000,0.000000,top
C2,130.250000,-103.400000,180.000000,top
C3,137.750000,-99.750000,0.000000,top
D1,133.750000,-107.000000,0.000000,top
IC1,134.250000,-97.000000,0.000000,top
IC2,138.000000,-95.500000,-90.000000,top
R1,-102.250000,-90.000000,top
R2,135.250000,-94.750000,180.000000,top
R3,131.750000,-97.500000,-90.000000,top
R4,136.500000,-98.250000,0.000000,top
U1,136.900000,-102.250000,0.000000,top
